type,date,location,description
Fieldwork,2023-07-31,"Greenville, Ohio, USA",
Fieldwork,2023-08-01,"Indianapolis, Indiana, USA",
Fieldwork,2023-08-02,"Cairo, Illinois, USA",
Fieldwork,2023-08-03,"Olive Branch, Mississippi, USA",
Fieldwork,2023-08-04,"Grenada, Mississippi, USA",
Fieldwork,2023-08-05,"Brewton, Alabama, USA",
Fieldwork,2023-08-06,"Matthews, North Carolina, USA",
Fieldwork,2023-08-07,"Roanoke Rapids, North Carolina, USA",
Fieldwork,2024-06-05,"Dallas, Texas, USA",
Fieldwork,2024-06-06,"Allen, Texas, USA",
Fieldwork,2024-06-07,"Lawton, Oklahoma, USA",
Fieldwork,2024-06-08,"Odessa, Texas, USA",
Fieldwork,2024-06-09,"Amarillo, Texas, USA",
Fieldwork,2024-06-10,"Limon, Colorado, USA",
Fieldwork,2024-06-11,"Ogallala, Nebraska, USA",
Fieldwork,2024-06-12,"Colby, Kansas, USA",
Fieldwork,2024-06-13,"Dodge City, Kansas, USA",
Fieldwork,2024-06-14,"Arlington, Texas, USA",
Fieldwork,2024-08-11,"Chicago, Illinois, USA",
Fieldwork,2024-08-11,"Madison, Wisconsin, USA",
Fieldwork,2024-08-12,"Rice Lake, Wisconsin, USA",
Fieldwork,2024-08-13,"Wahpeton, North Dakota, USA",
Fieldwork,2024-08-14,"Ames, Iowa, USA",
Fieldwork,2024-08-15,"Milbank, South Dakota, USA",
Fieldwork,2024-08-16,"Blue Springs, Missouri, USA",
Fieldwork,2024-08-17,"Coralville, Iowa, USA",
Fieldwork,2024-08-18,"Oskaloosa, Iowa, USA",
Fieldwork,2024-08-19,"Danville, Illinois, USA",
Fieldwork,2024-08-20,"Des Plaines, Illinois, USA",
Fieldwork,2025-07-27,"Sioux Falls, South Dakota, USA",
Fieldwork,2025-07-28,"Aberdeen, South Dakota, USA",
Fieldwork,2025-07-29,"Dickinson, North Dakota, USA",
Fieldwork,2025-07-30,"Deadwood, South Dakota, USA",
Fieldwork,2025-07-31,"Miles City, Montana, USA",
Fieldwork,2025-08-01,"Great Falls, Montana, USA",
Fieldwork,2025-08-02,"Shelby, Montana, USA",
Fieldwork,2025-08-03,"Williston, North Dakota, USA",
Fieldwork,2025-08-04,"Harvey, North Dakota, USA",
Fieldwork,2025-08-05,"West Fargo, North Dakota, USA",
Fieldwork,2017-03,"Poyang Lake, Jiangxi, China",
Fieldwork,2016-08,"Taizhou Bay, Zhejiang, China",
Fieldwork,2014-09,"Poyang Lake, Jiangxi, China",
Conference,2024-12-11,"Washington, D.C., USA",Advancing 10-m Crop Mapping Using All Sentinel-2 Observations over the Contiguous United States
Conference,2023-12-15,"San Francisco, California, USA","10-m Crop Mapping Using Satellite Data, Field Survey and Machine Learning over North America"
Conference,2022-12-13,"Chicago, Illinois, USA",Development of a 10 m Resolution Maize and Soybean Map Over China
